CANVAS ID,DEPT,COURSE #,SECTION,YR,COURSE NAME,INSTR,TERM,STATUS,MODE,# STUD,MT DATE,MT TIME,MT LT,MT INVIG LT,MT NOTES,FE DATE,FE TIME,FE LT,FE INVIG LT,FE NOTES
96599,ASTR,311,98A,3,ASTR 311 98A 2022S1-2 Exploring the Universe: Stars and Galaxies,"HEYL, JEREMY",2022S1-2,active,Online,102,NO MT,NO MT,NO MT,NO MT,,,,EdX,,
94710,ATSC,113,971,1,ATSC 113 971/98A 2022S1 Applied Meteorology,"MCCOLLOR, DOUGLAS; STULL, ROLAND",2022S1,active,In-Person,28,05/28/2022,5:00 PM,Canvas (assignment),NONE,,06/28/2022,3:30 PM,In-Person,NONE,LIFE 2212
,,,,,,,,,,,06/10/2022,,,,,,,,,
94710,ATSC,113,98A,1,ATSC 113 971/98A 2022S1 Applied Meteorology,"MCCOLLOR, DOUGLAS; STULL, ROLAND",2022S1,active,Online,186,05/28/2022,5:00 PM,Canvas (assignment),NONE,,06/28/2022,3:30 PM,Canvas,Zoom,Online
,,,,,,,,,,,06/10/2022,,,,,,,,,
94749,BIOL,112,921,1,BIOL 112 921 2022S1 Biology of the Cell,"TAYLOR, JARED",2022S1,active,In-Person,178,6/7/2022,9:00 AM,In-Person,In-Person,,06/29/2022,3:30 PM,In-Person,NONE,HEBB 100
98017,BIOL,112,Tutorial,1,BIOL 112 2022S1 Tutorial Biology of the Cell,TBA,2022S1,active,In-Person,178,NO MT,NO MT,NO MT,NO MT,,NO FINAL,NO FINAL,NONE,NONE,
94748,BIOL,111,921,1,BIOL 111 921 2022S1 Introduction to Modern Biology,"DEE, JACLYN",2022S1,active,In-Person,93,6/2/2022,10:00 AM,In-Person,In-Person,,06/28/2022,3:30 PM,In-Person,NONE,SWNG 122
94752,BIOL,234,921,2,BIOL 234 921 2022S1 Fundamentals of Genetics,"VAN WERSCH, SOLVEIG",2022S1,active,In-Person,74,05/30/2022,10:00 AM,In-Person,In-Person,,06/26/2022,12:00 PM,In-Person,NONE,IBLC 182
,,,,,,,,,,,06/13/2022,,,,,,,,,
94750,BIOL,200,921,2,BIOL 200 921 2022S1 Fundamentals of Cell Biology,"MOUSSAVI, MARYAM",2022S1,active,In-Person,109,6/2/2022,10:00 AM,In-Person,In-Person,,06/29/2022,12:00 PM,In-Person,NONE,BIOL 1000
94753,BIOL,300,921,3,BIOL 300 921 2022S1 Fundamentals of Biostatistics,"FREEMAN, BENJAMIN",2022S1,active,In-Person,100,NO MT,NO MT,NO MT,NO MT,,06/30/2022,12:00 PM,In-Person,NONE,BIOL 1000
94755,BIOL,371,921,3,BIOL 371 921 2022S1 Principles of Neurobiology I,"BALLAGH, IRENE",2022S1,active,In-Person,56,6/7/2022,10:00 AM,In-Person,In-Person,,06/28/2022,3:30 PM,In-Person,NONE,IRC 5
94751,BIOL,230,921,2,BIOL 230 921 2022S1 Fundamentals of Ecology,"WILSON, RACHEL",2022S1,active,In-Person,36,05/30/2022,10:00 AM,In-Person,In-Person,,06/27/2022,12:00 PM,In-Person,NONE,LIFE 2202
,,,,,,,,,,,06/13/2022,,,,,,,,,
94754,BIOL,335,921,3,BIOL 335 921 2022S1 Molecular Genetics,"BEREZOWSKY, CRAIG M S",2022S1,active,In-Person,51,6/3/2022,10:00 AM,In-Person,In-Person,,06/26/2022,3:30 PM,In-Person,NONE,LIFE 2302
97611,CHEM,115/121,ALL LABS,1,CHEM 115/CHEM 121 ALL LABS 2022S1 Introductory Chemical Laboratory I,TBA,2022S1,active,In-person,133,NO MT,NO MT,NO MT,NO MT,,NO FINAL,NO FINAL,NONE,NONE,
