LTR,CANVAS ID,DEPT,COURSE,NAME,Instructor(s),# Students,Mode,Status,MT Date(s),MT Time(s),MT LT,MT Invig LT,MT Notes,FE Date,FE Time ,FE LT,FE Invig LT,FE Notes
HT,114741,CHEM,SB.CHEM 121 TA Information 2022W1,2022W1 CHEM 121 TA Information,TBA,0,In-Person,Active,,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101120,BIOL,APBI/BIOL 327 2022W1,APBI/BIOL 327 2022W1 Introduction to Entomology,"AKHTAR, YASMIN",66,In-Person,Active,N/A,,,,,12/21/2022,15:30,In-Person,Canvas?,
HT,99850,ASTR,ASTR 101 101 2022W1,ASTR 101 101 2022W1 Introduction to the Solar System,"BOLEY, AARON",171,In-Person,Active,10/7/2022,12:00,Canvas,In-Person,,12/22/2022,15:30,In-Person,In-Person,
,,,,,,,,,11/18/2022,,,,,,,,,
HT,99853,ASTR,ASTR 310 101 2022W1,ASTR 310 101 2022W1 Exploring the Universe: The Solar System,"VAN LAERHOVEN, CHRISTA",59,In-Person,Active,NO MT,,,,,12/20/2022,08:30,In-Person,In-Person,
HT,99854,ASTR,ASTR 404 101 2022W1,ASTR 404 101 2022W1 Astronomical and Astrophysical Measurements,"HINSHAW, GARY",12,In-Person,Active,10/25/2022,11:00,NONE,In-Person,,12/15/2022,12:00,In-Person,In-Person,
HT,99859,ASTR,ASTR 549 101 2022W1,ASTR 549 101 2022W1 M.Sc. Thesis,TBA,2,In-Person,Active,,NO MT,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,99879,ATSC,ATSC 201 101 2022W1,ATSC 201 101 2022W1 Meteorology of Storms,"STULL, ROLAND",43,In-Person,Active,,NO MT,,,,12/22/2022,12:00,In-Person,Pandemic: Canvas + Zoom,https://www.eoas.ubc.ca/courses/atsc201/A201Home/A201Evaluation.html
,,,,,"DUBOC, NICOLAS",,,,,,,,,,,,,
,,,,,"PSOTKA, JILLIAN",,,,,,,,,,,,,
HT,101092,BIOF,BIOF 599 001 2022W1,BIOF 599 001 2022W1 M.Sc. Thesis,TBA,9,N/A,Active,,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101093,BIOF,BIOF 699 001 2022W1,BIOF 699 001 2022W1 Doctoral Dissertation,TBA,6,N/A,Active,,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101103,BIOL,BIOL 121 124 2022W1,"BIOL 121 124 2022W1 Genetics, Evolution and Ecology","NORMAN, LYNN",218,In-Person,Active,10/6/2022,08:00,NONE,In-Person,,12/19/2022,08:30,In-Person,In-Person,
,,,,,"CLARKSTON, BEIDGETTE",,,,,,,,,,,,,
,,,,,"SHERIN, LINLEY",,,,,,,,,,,,,
HT,111812,BIOL,BIOL 180 101 2022W1,BIOL 180 101 2022W1 Thinking Like a Life Scientist,"STEINWAND, BLAIRE",491,In-Person,Active,10/28/2022,UNKNOWN,CANVAS,ONLINE,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
,,,,,"SUN, CHIN",,,,,,,,,,,,,
HT,114847,BIOL,BIOL 180 1F1/1L1 2022W1,BIOL 180 1F1/1L1 2022W1 Thinking Like a Life Scientist,"ROSEN, DAVID",93,In-Person,Active,10/28/2022,TBA,NONE,In-Person,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101106,BIOL,BIOL 200.Tutorial,BIOL 200 2022W1 Tutorial Fundamentals of Cell Biology,"LAM, VIVIENNE",1024,In-Person,Active,NO MT,,,,,12/19/2022,12:00,In-Person,In-Person,
HT,101107,BIOL,BIOL 203 101 2022W1,BIOL 203 101 2022W1 Eukaryotic Microbiology,"BOSCARO, VITTORIO",70,In-Person,Active,2 MIDTERMS,,,,,12/12/2022,08:30,In-Person,In-Person,
,,,,,"SALDARRIAGA, JUAN",,,,UNKNOWN DATES,,,,,,,,,
,,,,,"COUCH, BRETTT",,,,,,,,,,,,,
HT,101110,BIOL,BIOL 230 101 2022W1,BIOL 230 101 2022W1 Fundamentals of Ecology,"HARLEY, CHRISTOPHER",230,In-Person,Active,10/14/2022,10:00,NONE,In-Person,,12/11/2022,08:30,In-Person,In-Person,
,,,,,"WILDON, RACHEL",,,,11/16/2022,,,,,,,,,
HT,101111,BIOL,BIOL 234 101/102 2022W1,BIOL 234 101/102 2022W1 Fundamentals of Genetics,"MANK, JUDITH",227,In-Person,Active,10/12/2022,10:00,NONE,In-Person,,12/16/2022,12:00,In-Person,In-Person,
,,,,,"VAN WERSCH, SOLVEIG",,,,11/7/2022,,,,,,,,,
,,,,,"BEREZOWSKY, CRAIG M S",,,,,,,,,,,,,
HT,101123,BIOL,BIOL 341 101 2022W1,BIOL 341 101 2022W1 Introductory Molecular Biology Laboratory,"MOUSSAVI, MARYAM",41,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
,,,,,"BACON, JACK",,,,,,,,,,,,,
HT,101124,BIOL,BIOL 342 101 2022W1,BIOL 342 101 2022W1 Integrative Biology Laboratory,"LEANDER, CELESTE",92,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
