LTR,CANVAS ID,,NAME,Instructor(s),# Students,Mode,Status,MT Date(s),MT Time(s),MT LT,MT Invig LT,MT Notes,FE Date,FE Time ,FE LT,FE Invig LT,FE Notes
KL,105373,ASIC,ASIC 200 BA2 2022W2 Global Issues in the Arts and Sciences,"SENS, ALLEN",45,In-Person,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,TBA,TBA,TBA,TBA,
,,,,"NG, DAVID",,,,,,,,,,,,,
KL,105374,ASIC,ASIC 220 001 2022W2 Introduction to Sustainability,"WITTMAN, HANNAH",47,In-Person,Active,2/9/2023,14:00 - 15:30,Canvas New Quiz,In-Person,Instructor requires student to do MT on Google Chrome,NO FINAL,NO FINAL,NO FINAL,NO FINAL,Have Final presentation submitted as Canvas Assignment
KL ,105408,ATSC,ATSC 303 201 2022W2 Methods in Atmospheric Science,"STULL, ROLAND",18,In-Person,Active,2/8/2023,11:00 - 12:00,In-Person,In-Person,,TBA,TBA,In-Person,In-Person,
,,,,,,,,3/15/2023,11:00 - 12:00,,,,,,,,
KL,105383,ASTR,ASTR 407/507A 201 2022W2 Planetary Science,"BOLEY, AARON",14,In-Person,Active,2/10/2023,10:00 - 11:00,Canvas,In-Person,,TBA,TBA,Canvas,In-Person,
,,,,"HAGEY, SIMONE",,,,3/17/2023,10:00 - 11:00,,,,,,,,
KL,105377,ASTR,ASTR 102 201 2022W2 Introduction to Stars and Galaxies,"MCIVER, JESSICA",179,In-Person,Active,3/1/2023,12:00 - 13:00,In-Person,In-Person,,TBA,TBA,TBA,TBA,
KL,105378,ASTR,ASTR 205 201 2022W2 Stars and Stellar Populations,"HALPERN, MARK",25,In-Person,Active,2/17/2023,12:00 - 13:00,In-Person,In-Person,,TBA,TBA,TBA,TBA,1 Final ;
,,,,,,,,,,,,,,,,,but TBA
KL,105379,ASTR,ASTR 311 201 2022W2 Exploring the Universe: Stars and Galaxies,"HEYL, JEREMY",42,In-Person*,Active,NO MIDTERM,NO MIDTERM,NO MIDTERM,NO MIDTERM,,TBA,TBA,TBA,TBA,1 Final ;
,,,,"KIRMIZIBAYRAK, DEMET",,,,,,,,,,,,,Course on Edge EdX + Canvas syllabus empty (No access to MT and Final details without EdX enrollment)
